scan_ts_kst,date,ticker,name,market,sector,bar_date,close,volume,avg_vol20,atr14,market_cap,tech,macro,filing,value,total,consensus,signal,ev,target,hitl,source,asset_type,flow,regime
2026-08-15T12:42:21.082379+09:00,2026-08-15,NVDA,NVIDIA Corporation,US,반도체,2026-08-14,225.16,75680900,120353495.0,6.8414,,72,65,71,58,64,2,WATCH,0.54,6,False,backfill,,47,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,AAPL,Apple Inc.,US,IT,2026-08-14,305.93,28229400,52617430.0,8.5593,,32,60,68,42,55,1,HOLD,0.17,2,False,backfill,,84,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,GOOGL,Alphabet Inc.,US,인터넷,2026-08-14,345.9,17808600,31298765.0,11.5886,,35,65,68,68,50,0,HOLD,-0.3,-4,False,backfill,,26,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,GOOG,Alphabet Inc.,US,인터넷,2026-08-14,343.54,10946800,20655045.0,11.0508,,35,65,60,68,47,0,HOLD,-0.38,-5,False,backfill,,26,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,MSFT,Microsoft Corporation,US,IT,2026-08-14,495.4,16217600,37752185.0,16.9457,,69,60,50,50,61,1,HOLD,0.64,8,False,backfill,,75,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,AMZN,"Amazon.com, Inc.",US,소비재,2026-08-14,262.65,27251700,47966510.0,9.8257,,87,60,60,50,65,1,HOLD,0.64,8,False,backfill,,54,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,TSM,Taiwan Semiconductor Manufacturing Compa,US,반도체,2026-08-14,426.35,6324700,12737685.0,14.0586,,76,65,77,58,67,2,WATCH,0.73,9,False,backfill,,47,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,AVGO,Broadcom Inc.,US,반도체,2026-08-14,392.99,29513600,18103360.0,16.8407,,65,65,60,43,55,0,HOLD,0.15,2,False,backfill,,44,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,META,"Meta Platforms, Inc.",US,인터넷,2026-08-14,589.85,8758000,15778595.0,21.5643,,50,65,50,66,53,0,HOLD,-0.02,0,False,backfill,,47,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,TSLA,"Tesla, Inc.",US,소비재,2026-08-14,342.27,45437100,39831250.0,11.1957,,52,60,70,30,50,1,HOLD,-0.13,-2,False,backfill,,36,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,LLY,Eli Lilly and Company,US,제약/바이오,2026-08-14,1180.16,2274500,2665145.0,43.5584,,69,65,81,50,67,1,HOLD,0.87,10,False,backfill,,61,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,MU,"Micron Technology, Inc.",US,반도체,2026-08-14,971.66,27881100,41977940.0,75.0478,,80,65,58,58,61,1,HOLD,0.67,8,False,backfill,,41,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,JPM,JPMorgan Chase & Co.,US,금융,2026-08-14,362.84,5058600,6605410.0,6.1771,,73,60,66,60,72,2,WATCH,1.0,12,False,backfill,,90,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,WMT,Walmart Inc.,US,소매,2026-08-14,115.27,14520000,21467700.0,2.5621,,72,60,50,29,54,1,HOLD,0.11,1,False,backfill,,56,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,AMD,"Advanced Micro Devices, Inc.",US,반도체,2026-08-14,514.39,25570300,28502985.0,32.7793,,73,65,58,35,54,1,HOLD,0.48,6,False,backfill,,39,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,ASML,ASML Holding N.V.,US,반도체,2026-08-14,1844.08,929000,1593020.0,71.4087,,80,65,65,35,60,1,HOLD,0.71,9,False,backfill,,48,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,V,Visa Inc.,US,금융,2026-08-14,364.15,8106900,6669540.0,7.61,,62,60,63,50,64,1,HOLD,0.7,8,False,backfill,,84,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,XOM,Exxon Mobil Corporation,US,에너지,2026-08-14,159.07,10231300,13952955.0,3.9359,,87,60,40,58,65,2,WATCH,0.66,8,False,backfill,,78,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,JNJ,Johnson & Johnson,US,제약/바이오,2026-08-14,260.35,4998100,7275625.0,5.6443,,62,65,56,53,64,1,HOLD,0.72,9,False,backfill,,90,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,INTC,Intel Corp.,US,반도체,2026-08-14,102.5,95387500,119300345.0,6.8493,,72,65,73,42,60,2,WATCH,0.37,4,False,backfill,,39,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,MA,Mastercard Incorporated,US,금융,2026-08-14,569.29,2473300,2959150.0,11.2,,69,60,53,50,63,1,HOLD,0.74,9,False,backfill,,84,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,BAC,Bank of America Corporation,US,금융,2026-08-14,64.49,21847900,29015400.0,0.9721,,95,60,81,60,83,3,STRONG_BUY,1.47,18,True,backfill,,90,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,ABBV,AbbVie Inc.,US,제약/바이오,2026-08-14,249.46,4195000,5290445.0,6.5857,,47,65,81,51,61,1,HOLD,0.56,7,False,backfill,,61,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,CSCO,"Cisco Systems, Inc.",US,IT,2026-08-14,111.68,29415200,22475915.0,4.7314,,28,60,65,50,48,0,HOLD,-0.23,-3,False,backfill,,49,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,ORCL,Oracle Corporation,US,IT,2026-08-14,150.52,21905500,32175435.0,7.5557,,52,60,60,50,52,0,HOLD,-0.12,-1,False,backfill,,43,NEUTRAL
2026-08-15T12:42:21.082379+09:00,2026-08-15,COST,Costco Wholesale Corporation,US,소매,2026-08-14,961.1,1165100,1810125.0,18.2171,,65,60,60,29,54,0,HOLD,0.17,2,False,backfill,,56,NEUTRAL
