scan_ts_kst,date,ticker,name,market,sector,bar_date,close,volume,avg_vol20,atr14,market_cap,tech,macro,filing,value,total,consensus,signal,ev,target,hitl,source,asset_type,flow,regime,exchange
2026-09-11T07:56:49.207012+09:00,2026-09-11,NVDA,NVIDIA Corporation,US,반도체,2026-09-10,218.36,100845811,127963280.55,7.7207,5272738725888,47,65,63,58,54,0,HOLD,0.2,2,False,live,STOCK,48,NEUTRAL,NASDAQ
2026-09-11T07:56:49.207012+09:00,2026-09-11,AAPL,Apple Inc.,US,IT,2026-09-10,326.57,69820744,42005382.2,7.5157,4766021713920,73,60,58,42,62,2,WATCH,0.71,9,False,live,STOCK,77,NEUTRAL,NASDAQ
2026-09-11T07:56:49.207012+09:00,2026-09-11,GOOG,Alphabet Inc.,US,인터넷,2026-09-10,330.39,15219012,15245970.6,6.6979,4040648556544,31,65,70,60,50,1,HOLD,-0.15,-2,False,live,STOCK,46,NEUTRAL,NASDAQ
2026-09-11T07:56:49.207012+09:00,2026-09-11,MSFT,Microsoft Corporation,US,IT,2026-09-10,492.44,15852734,21216126.7,10.1507,3656635645952,58,60,50,50,58,1,HOLD,0.52,6,False,live,STOCK,80,NEUTRAL,NASDAQ
2026-09-11T07:56:49.207012+09:00,2026-09-11,AMZN,"Amazon.com, Inc.",US,소비재,2026-09-10,251.89,25371219,32212120.95,5.5114,2716964487168,46,60,60,50,47,0,HOLD,-0.03,0,False,live,STOCK,31,NEUTRAL,NASDAQ
2026-09-11T07:56:49.207012+09:00,2026-09-11,TSM,Taiwan Semiconductor Manufacturing Compa,US,반도체,2026-09-10,428.03,8325340,9130892.0,10.0507,2219966464000,87,65,77,66,69,2,WATCH,0.8,10,False,live,STOCK,38,NEUTRAL,NYSE
2026-09-11T07:56:49.207012+09:00,2026-09-11,SPCX,Space Exploration Technologies Corp.,US,산업재,2026-09-10,148.18,118244140,82006262.0,6.1429,1953276100608,80,60,78,27,59,2,HOLD,0.67,8,False,live,STOCK,55,NEUTRAL,NASDAQ
2026-09-11T07:56:49.207012+09:00,2026-09-11,AVGO,Broadcom Inc.,US,반도체,2026-09-10,360.83,21364163,25214618.15,10.7539,1716677640192,28,65,60,50,44,0,AVOID,-0.35,-4,True,live,STOCK,41,NEUTRAL,NASDAQ
2026-09-11T07:56:49.207012+09:00,2026-09-11,META,"Meta Platforms, Inc.",US,인터넷,2026-09-10,644.38,20418899,17552019.95,20.6664,1641561980928,58,65,50,66,62,1,HOLD,0.53,6,False,live,STOCK,76,NEUTRAL,NASDAQ
2026-09-11T07:56:49.207012+09:00,2026-09-11,TSLA,"Tesla, Inc.",US,소비재,2026-09-10,363.56,29554006,39764290.3,15.2943,1435897430016,72,60,70,30,54,2,HOLD,0.32,4,False,live,STOCK,49,NEUTRAL,NASDAQ
