scan_ts_kst,date,ticker,name,market,sector,bar_date,close,volume,avg_vol20,atr14,market_cap,tech,macro,filing,value,total,consensus,signal,ev,target,hitl,source,asset_type,flow,regime
2026-08-11T13:27:58.733464+09:00,2026-08-11,NVDA,NVIDIA Corporation,US,반도체,2026-08-10,217.55,115846600,126945495.0,7.9729,,87,60,38,58,60,1,HOLD,0.45,5,False,backfill,,55,NEUTRAL
2026-08-11T13:27:58.733464+09:00,2026-08-11,AAPL,Apple Inc.,US,IT,2026-08-10,308.26,44812500,56415375.0,9.421,,47,55,53,42,54,1,HOLD,0.23,3,False,backfill,,78,NEUTRAL
2026-08-11T13:27:58.733464+09:00,2026-08-11,GOOGL,Alphabet Inc.,US,인터넷,2026-08-10,357.52,18991400,32693430.0,13.2221,,65,60,43,68,53,0,HOLD,-0.03,0,False,backfill,,33,NEUTRAL
2026-08-11T13:27:58.733464+09:00,2026-08-11,GOOG,Alphabet Inc.,US,인터넷,2026-08-10,355.84,12789500,21514785.0,12.7594,,65,60,35,68,50,0,HOLD,-0.11,-1,False,backfill,,33,NEUTRAL
2026-08-11T13:27:58.733464+09:00,2026-08-11,MSFT,Microsoft Corporation,US,IT,2026-08-10,506.06,31206100,39897530.0,18.0536,,73,55,27,50,57,2,HOLD,0.51,6,False,backfill,,83,NEUTRAL
2026-08-11T13:27:58.733464+09:00,2026-08-11,AMZN,"Amazon.com, Inc.",US,소비재,2026-08-10,278.09,35731900,50116815.0,10.1979,,87,55,30,50,58,1,HOLD,0.44,5,False,backfill,,62,NEUTRAL
2026-08-11T13:27:58.733464+09:00,2026-08-11,TSM,Taiwan Semiconductor Manufacturing Compa,US,반도체,2026-08-10,418.47,11776100,14908315.0,15.6107,,65,60,57,58,56,0,HOLD,0.3,4,False,backfill,,41,NEUTRAL
2026-08-11T13:27:58.733464+09:00,2026-08-11,AVGO,Broadcom Inc.,US,반도체,2026-08-10,422.4,13854100,18687670.0,16.2157,,69,60,27,43,48,0,HOLD,-0.0,0,False,backfill,,52,NEUTRAL
2026-08-11T13:27:58.733464+09:00,2026-08-11,META,"Meta Platforms, Inc.",US,인터넷,2026-08-10,594.92,14967300,17007570.0,22.5443,,40,60,35,66,47,0,HOLD,-0.21,-3,False,backfill,,55,NEUTRAL
2026-08-11T13:27:58.733464+09:00,2026-08-11,TSLA,"Tesla, Inc.",US,소비재,2026-08-10,330.88,25003800,39001700.0,14.3279,,37,55,50,30,37,0,AVOID,-0.64,-8,True,backfill,,23,NEUTRAL
2026-08-11T13:27:58.733464+09:00,2026-08-11,LLY,Eli Lilly and Company,US,제약/바이오,2026-08-10,1230.1771,3011900,2789500.0,42.0091,,92,60,53,50,66,1,HOLD,0.91,11,False,backfill,,63,NEUTRAL
2026-08-11T13:27:58.733464+09:00,2026-08-11,MU,"Micron Technology, Inc.",US,반도체,2026-08-10,861.0,27818600,45220425.0,79.1864,,54,60,50,58,49,0,HOLD,0.07,1,False,backfill,,32,NEUTRAL
2026-08-11T13:27:58.733464+09:00,2026-08-11,JPM,JPMorgan Chase & Co.,US,금융,2026-08-10,359.79,5327500,7998740.0,6.3857,,73,55,35,60,62,2,WATCH,0.68,8,False,backfill,,90,NEUTRAL
2026-08-11T13:27:58.733464+09:00,2026-08-11,WMT,Walmart Inc.,US,소매,2026-08-10,112.66,19144000,21958430.0,2.605,,72,55,35,37,48,1,HOLD,-0.11,-1,False,backfill,,41,NEUTRAL
2026-08-11T13:27:58.733464+09:00,2026-08-11,AMD,"Advanced Micro Devices, Inc.",US,반도체,2026-08-10,469.56,19656600,29864045.0,37.7529,,25,60,50,35,34,0,AVOID,-0.55,-7,True,backfill,,25,NEUTRAL
2026-08-11T13:27:58.733464+09:00,2026-08-11,V,Visa Inc.,US,금융,2026-08-10,360.65,7552200,7043110.0,7.7848,,54,55,38,50,53,1,HOLD,0.28,3,False,backfill,,78,NEUTRAL
2026-08-11T13:27:58.733464+09:00,2026-08-11,ASML,ASML Holding N.V.,US,반도체,2026-08-10,1733.48,1107000,1916710.0,76.5317,,69,60,45,42,54,0,HOLD,0.37,4,False,backfill,,55,NEUTRAL
